ID;Empresa;Setor;Link;Email;Foco;Status
72;CPFL Energia;Energia;https://cpfl.gupy.io/;rh@cpfl.com.br;Java/.NET;Para Aplicar
73;Energisa;Energia;https://energisa.gupy.io/;rh@energisa.com.br;Java/Python;Para Aplicar
74;Equatorial Energia;Energia;https://equatorial.gupy.io/;rh@equatorial.com.br;Java/Go;Para Aplicar
75;Neoenergia;Energia;https://neoenergia.gupy.io/;rh@neoenergia.com;Java;Para Aplicar
76;Statkraft Brasil;Energia;https://statkraft.gupy.io/;rh@statkraft.com;Java;Para Aplicar
77;Omega Energia;Energia;https://omega.gupy.io/;rh@omegaenergia.com.br;Python/Java;Para Aplicar
78;EDP Brasil;Energia;https://edpbrasil.gupy.io/;talentos@edp.br;Java;Para Aplicar
79;Alupar;Energia;https://alupar.gupy.io/;rh@alupar.com.br;Java;Para Aplicar
80;Taesa;Energia;https://taesa.gupy.io/;rh@taesa.com.br;Java;Para Aplicar
91;Sami;Saúde;https://samisaude.gupy.io/;talentos@samisaude.com.br;Node.js/Go;Para Aplicar
92;Alice;Saúde;https://alice.gupy.io/;talentos@alice.com.br;Kotlin/Node.js;Para Aplicar
93;Pipo Saúde;Saúde;https://piposaude.gupy.io/;talentos@piposaude.com.br;Node.js;Para Aplicar
94;Dr. Consulta;Saúde;https://drconsulta.gupy.io/;rh@drconsulta.com;Node.js/Java;Para Aplicar
95;Zenklub;Saúde;https://zenklub.gupy.io/;talentos@zenklub.com;PHP/Node.js;Para Aplicar
96;Vitalk;Saúde;https://vitalk.gupy.io/;rh@vitalk.com.br;Node.js;Para Aplicar
97;Memed;Saúde;https://memed.gupy.io/;rh@memed.com.br;PHP/Node.js;Para Aplicar
98;iClinic (Pismo);Saúde;https://iclinic.gupy.io/;rh@iclinic.com.br;Python/Node.js;Para Aplicar
99;Fleury Digital;Saúde;https://fleury.gupy.io/;rh@fleury.com.br;Java/Python;Para Aplicar
100;Dasa Tech;Saúde;https://dasa.gupy.io/;rh@dasa.com.br;Java/Node.js;Para Aplicar
101;Cora;Fintech;https://cora.gupy.io/;talent@cora.com.br;Node.js;Para Aplicar
102;Nomad;Fintech;https://nomad.gupy.io/;talentos@nomadglobal.com;Java/Go;Para Aplicar
103;Warren;Fintech;https://warren.gupy.io/;talentos@warren.com.br;Java/Node.js;Para Aplicar
104;Conta Simples;Fintech;https://contasimples.gupy.io/;talentos@contasimples.com;Node.js/Go;Para Aplicar
105;BizCapital;Fintech;https://bizcapital.gupy.io/;talentos@bizcapital.com.br;Python/Django;Para Aplicar
106;Swap;Fintech;https://swap.gupy.io/;talentos@swap.financial;Node.js/Go;Para Aplicar
107;FitBank;Fintech;https://fitbank.gupy.io/;rh@fitbank.com.br;C#/SQL;Para Aplicar
108;Asaas;Fintech;https://asaas.gupy.io/;rh@asaas.com.br;Java/PHP;Para Aplicar
109;Juno (Ebanx);Fintech;https://juno.gupy.io/;rh@juno.com.br;Java;Para Aplicar
110;Stark Bank;Fintech;https://starkbank.com/careers;hiring@starkbank.com;Go/Python;Para Aplicar
111;Petlove;Varejo;https://petlove.gupy.io/;talentos@petlove.com.br;Node.js/Go;Para Aplicar
112;Cobasi Tech;Varejo;https://cobasi.gupy.io/;rh@cobasi.com.br;Java/PHP;Para Aplicar
113;MadeiraMadeira;Varejo;https://madeiramadeira.gupy.io/;talentos@madeiramadeira.com.br;PHP/Python;Para Aplicar
114;Mobly;Varejo;https://mobly.gupy.io/;talentos@mobly.com.br;PHP/Node.js;Para Aplicar
115;Westwing;Varejo;https://westwing.gupy.io/;rh@westwing.com.br;PHP/Node.js;Para Aplicar
116;Tray (Locaweb);Varejo;https://tray.gupy.io/;rh@tray.com.br;PHP;Para Aplicar
117;Loja Integrada;Varejo;https://lojaintegrada.gupy.io/;rh@lojaintegrada.com.br;Python/Node.js;Para Aplicar
118;Dafiti Group;Varejo;https://dafiti.gupy.io/;talentos@dafiti.com.br;PHP/Java;Para Aplicar
119;Netshoes;Varejo;https://netshoes.gupy.io/;talentos@netshoes.com.br;Java/.NET;Para Aplicar
120;Privalia;Varejo;https://privalia.gupy.io/;rh@privalia.com.br;Java/PHP;Para Aplicar
121;Pier;Seguros;https://pier.gupy.io/;talentos@pier.digital;Node.js/Go;Para Aplicar
122;Youse;Seguros;https://youse.gupy.io/;talentos@youse.com.br;Ruby/Kotlin;Para Aplicar
123;ThinkSeg;Seguros;https://thinkseg.gupy.io/;rh@thinkseg.com;Node.js;Para Aplicar
124;Porto Seguro (Tech);Seguros;https://portoseguro.gupy.io/;rh@portoseguro.com.br;Java/.NET;Para Aplicar
125;SulAmérica;Seguros;https://sulamerica.gupy.io/;rh@sulamerica.com.br;Java;Para Aplicar
126;Liberty Seguros;Seguros;https://liberty.gupy.io/;rh@libertyseguros.com.br;Java;Para Aplicar
127;Tokio Marine;Seguros;https://tokiomarine.gupy.io/;rh@tokiomarine.com.br;Java;Para Aplicar
128;Sompo Seguros;Seguros;https://sompo.gupy.io/;rh@sompo.com.br;Java;Para Aplicar
129;HDI Seguros;Seguros;https://hdi.gupy.io/;rh@hdi.com.br;Java;Para Aplicar
130;Mongeral Aegon;Seguros;https://mongeralaegon.gupy.io/;rh@mag.com.br;Java;Para Aplicar
141;Objective;Consultoria;https://objective.gupy.io/;rh@objective.com.br;Java/Agile;Para Aplicar
142;Digiage;Consultoria;https://digiage.gupy.io/;rh@digiage.com.br;Java/Node.js;Para Aplicar
143;Avenue Code;Consultoria;https://avenuecode.gupy.io/;hiring@avenuecode.com;Java/Node.js;Para Aplicar
144;Dextra;Consultoria;https://dextra.gupy.io/;talentos@dextra.com.br;Java/Kotlin;Para Aplicar
145;Concrete (Accenture);Consultoria;https://concrete.gupy.io/;rh@concrete.com.br;Java/Kotlin;Para Aplicar
146;Lambda3;Consultoria;https://lambda3.gupy.io/;rh@lambda3.com.br;.NET/Azure;Para Aplicar
147;Iteris;Consultoria;https://iteris.gupy.io/;rh@iteris.com.br;C#/Node.js;Para Aplicar
148;Cast Group;Consultoria;https://cast.gupy.io/;rh@castgroup.com.br;Java/SAP;Para Aplicar
149;Spread Tech;Consultoria;https://spread.gupy.io/;rh@spread.com.br;Java/.NET;Para Aplicar
150;TIVIT;Consultoria;https://tivit.gupy.io/;rh@tivit.com;Java/Cloud;Para Aplicar
151;Kovi;Mobilidade;https://kovi.gupy.io/;talentos@kovi.com.br;Elixir/Node.js;Para Aplicar
152;Buser;Mobilidade;https://buser.com.br/carreiras;vagas@buser.com.br;Python;Para Aplicar
153;MaxMilhas;Turismo;https://maxmilhas.gupy.io/;talentos@maxmilhas.com.br;PHP/Node.js;Para Aplicar
154;ClickBus;Turismo;https://clickbus.gupy.io/;talentos@clickbus.com.br;Node.js/PHP;Para Aplicar
155;Rentcars;Turismo;https://rentcars.gupy.io/;talentos@rentcars.com;PHP/Go;Para Aplicar
156;Localiza Tech;Mobilidade;https://localiza.gupy.io/;talentos@localiza.com;C#/Java;Para Aplicar
157;Unidas Tech;Mobilidade;https://unidas.gupy.io/;rh@unidas.com.br;Java;Para Aplicar
158;Movida Tech;Mobilidade;https://movida.gupy.io/;rh@movida.com.br;Java;Para Aplicar
159;99 (Didi);Mobilidade;https://99app.com/carreiras/;recruitment@99app.com;Java/Go;Para Aplicar
160;Rappi Tech;Entrega;https://about.rappi.com/careers;recruitment@rappi.com;Python/Go;Para Aplicar
161;Ambev Tech;Consumo;https://ambevtech.gupy.io/;talentos@ambevtech.com.br;Java/C#;Para Aplicar
162;M. Dias Branco;Consumo;https://mdiasbranco.gupy.io/;rh@mdiasbranco.com.br;Java;Para Aplicar
163;Camil Alimentos;Consumo;https://camil.gupy.io/;rh@camil.com.br;Java;Para Aplicar
164;Bauducco (Pandurata);Consumo;https://pandurata.gupy.io/;rh@bauducco.com.br;Java;Para Aplicar
165;BRF Tech;Consumo;https://brf.gupy.io/;rh@brf-global.com;Java/SAP;Para Aplicar
166;Nestlé Digital;Consumo;https://nestle.gupy.io/;rh@nestle.com.br;Java/Python;Para Aplicar
167;Heineken Tech;Consumo;https://heineken.gupy.io/;rh@heineken.com.br;Java;Para Aplicar
168;Coca-Cola Femsa;Consumo;https://femsa.gupy.io/;rh@femsa.com.mx;Java;Para Aplicar
169;Habib's Tech;Consumo;https://habibs.gupy.io/;rh@habibs.com.br;Node.js;Para Aplicar
170;Cacau Show;Consumo;https://cacaushow.gupy.io/;rh@cacaushow.com.br;Java;Para Aplicar
181;Algar Tech;Telecom;https://algartech.gupy.io/;rh@algartech.com;Java/.NET;Para Aplicar
182;Vivo Tech;Telecom;https://telefonica.gupy.io/;talentos@vivo.com.br;Java/Node.js;Para Aplicar
183;Claro Tech;Telecom;https://claro.gupy.io/;talentos@claro.com.br;Java/PHP;Para Aplicar
184;Tim Tech;Telecom;https://tim.gupy.io/;talentos@timbrasil.com.br;Java/Python;Para Aplicar
185;Oi Digital;Telecom;https://oi.gupy.io/;talentos@oi.net.br;Java/Node.js;Para Aplicar
186;Sky Brasil;Telecom;https://sky.gupy.io/;rh@sky.com.br;Java;Para Aplicar
187;Embratel;Telecom;https://embratel.gupy.io/;rh@embratel.com.br;Java;Para Aplicar
188;Positivo Tech;Hardware/Tech;https://positivo.gupy.io/;rh@positivo.com.br;C++/Java;Para Aplicar
189;Multilaser;Hardware/Tech;https://multilaser.gupy.io/;rh@multilaser.com.br;Java/PHP;Para Aplicar
190;Intelbras;Hardware/Tech;https://intelbras.gupy.io/;rh@intelbras.com.br;C++/Python;Para Aplicar
191;Sebrae Tech;Serviços;https://sebrae.gupy.io/;rh@sebrae.com.br;PHP/Java;Para Aplicar
192;Senac Digital;Educação;https://senac.gupy.io/;talentos@senac.br;Node.js;Para Aplicar
193;Sesc Tech;Serviços;https://sesc.gupy.io/;rh@sesc.com.br;Java;Para Aplicar
194;Banrisul Tech;Bancos;https://banrisul.gupy.io/;rh@banrisul.com.br;Java/.NET;Para Aplicar
195;Banestes Digital;Bancos;https://banestes.gupy.io/;rh@banestes.com.br;Java;Para Aplicar
196;Banco Nordeste;Bancos;https://concurso.bnb.gov.br/;concurso@bnb.gov.br;Java;Para Aplicar
197;Banco Amazonia;Bancos;https://bancoamazonia.gupy.io/;rh@bancoamazonia.com.br;Java;Para Aplicar
198;KaBuM!;E-commerce;https://kabum.gupy.io/;rh@kabum.com.br;PHP/Node.js;Para Aplicar
199;Estante Virtual;E-commerce;https://estantevirtual.gupy.io/;rh@estantevirtual.com.br;Ruby;Para Aplicar
200;Faber-Castell Br;Consumo;https://faber-castell.gupy.io/;rh@faber-castell.com.br;Java;Para Aplicar
